business_description,nic_code,nic_description
We provide services related to manufacture of tube and tube fittings of basic iron and steel.,24106,Manufacture of tube and tube fittings of basic iron and steel
We are engaged in manufacture of tube and tube fittings of basic iron and steel in our region.,24106,Manufacture of tube and tube fittings of basic iron and steel
Our business specializes in manufacture of railway track materials (unassembled rails) of steel.,24107,Manufacture of railway track materials (unassembled rails) of steel
We provide services related to manufacture of railway track materials (unassembled rails) of steel.,24107,Manufacture of railway track materials (unassembled rails) of steel
We are engaged in manufacture of railway track materials (unassembled rails) of steel in our region.,24107,Manufacture of railway track materials (unassembled rails) of steel
Our business specializes in manufacture of wire of steel by cold drawing or stretching.,24108,Manufacture of wire of steel by cold drawing or stretching
We provide services related to manufacture of wire of steel by cold drawing or stretching.,24108,Manufacture of wire of steel by cold drawing or stretching
We are engaged in manufacture of wire of steel by cold drawing or stretching in our region.,24108,Manufacture of wire of steel by cold drawing or stretching
Our business specializes in manufacture of other basic iron and steel n.e.c.,24109,Manufacture of other basic iron and steel n.e.c
We provide services related to manufacture of other basic iron and steel n.e.c.,24109,Manufacture of other basic iron and steel n.e.c
We are engaged in manufacture of other basic iron and steel n.e.c in our region.,24109,Manufacture of other basic iron and steel n.e.c
"Our business specializes in manufacture of copper from ore, and other copper products and alloys.",24201,"Manufacture of Copper from ore, and other copper products and alloys"
"We provide services related to manufacture of copper from ore, and other copper products and alloys.",24201,"Manufacture of Copper from ore, and other copper products and alloys"
"We are engaged in manufacture of copper from ore, and other copper products and alloys in our region.",24201,"Manufacture of Copper from ore, and other copper products and alloys"
Our business specializes in manufacture of aluminium from alumina and by other methods and products.,24202,Manufacture of Aluminium from alumina and by other methods and products
We provide services related to manufacture of aluminium from alumina and by other methods and products.,24202,Manufacture of Aluminium from alumina and by other methods and products
We are engaged in manufacture of aluminium from alumina and by other methods and products in our region.,24202,Manufacture of Aluminium from alumina and by other methods and products
"Our business specializes in manufacturing of lead, zinc and tin products and alloys.",24203,"Manufacturing of lead, zinc and tin products and alloys"
"We provide services related to manufacturing of lead, zinc and tin products and alloys.",24203,"Manufacturing of lead, zinc and tin products and alloys"
"We are engaged in manufacturing of lead, zinc and tin products and alloys in our region.",24203,"Manufacturing of lead, zinc and tin products and alloys"
"Our business specializes in manufacturing of chrome, manganese and nickel products alloys.",24204,"Manufacturing of chrome, manganese and nickel products alloys"
"We provide services related to manufacturing of chrome, manganese and nickel products alloys.",24204,"Manufacturing of chrome, manganese and nickel products alloys"
"We are engaged in manufacturing of chrome, manganese and nickel products alloys in our region.",24204,"Manufacturing of chrome, manganese and nickel products alloys"
"Our business specializes in production and refining of precious metals (such as gold, silver platinum.",24205,"Production and refining of precious metals (such as gold, silver platinum"
"We provide services related to production and refining of precious metals (such as gold, silver platinum.",24205,"Production and refining of precious metals (such as gold, silver platinum"
"We are engaged in production and refining of precious metals (such as gold, silver platinum in our region.",24205,"Production and refining of precious metals (such as gold, silver platinum"
Our business specializes in manufacture of other non-ferrous metals n.e.c..,24209,Manufacture of other non-ferrous metals n.e.c.
We provide services related to manufacture of other non-ferrous metals n.e.c..,24209,Manufacture of other non-ferrous metals n.e.c.
We are engaged in manufacture of other non-ferrous metals n.e.c. in our region.,24209,Manufacture of other non-ferrous metals n.e.c.
"Our business specializes in manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings.",24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings"
"We provide services related to manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings.",24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings"
"We are engaged in manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings in our region.",24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings"
Our business specializes in manufacture of other iron and steel casting and products thereof.,24319,Manufacture of other iron and steel casting and products thereof
We provide services related to manufacture of other iron and steel casting and products thereof.,24319,Manufacture of other iron and steel casting and products thereof
We are engaged in manufacture of other iron and steel casting and products thereof in our region.,24319,Manufacture of other iron and steel casting and products thereof
Our business specializes in casting of non-ferrous metals.,24320,Casting of non-ferrous metals
We provide services related to casting of non-ferrous metals.,24320,Casting of non-ferrous metals
We are engaged in casting of non-ferrous metals in our region.,24320,Casting of non-ferrous metals
"Our business specializes in manufacture of doors, windows and their frames, shutters and rolling.",25111,"Manufacture of doors, windows and their frames, shutters and rolling"
"We provide services related to manufacture of doors, windows and their frames, shutters and rolling.",25111,"Manufacture of doors, windows and their frames, shutters and rolling"
"We are engaged in manufacture of doors, windows and their frames, shutters and rolling in our region.",25111,"Manufacture of doors, windows and their frames, shutters and rolling"
Our business specializes in manufacture of metal frameworks or skeletons for construction and parts.,25112,Manufacture of metal frameworks or skeletons for construction and parts
We provide services related to manufacture of metal frameworks or skeletons for construction and parts.,25112,Manufacture of metal frameworks or skeletons for construction and parts
We are engaged in manufacture of metal frameworks or skeletons for construction and parts in our region.,25112,Manufacture of metal frameworks or skeletons for construction and parts
Our business specializes in manufacture of industrial frameworks in metal (frameworks for blast.,25113,Manufacture of industrial frameworks in metal (frameworks for blast
We provide services related to manufacture of industrial frameworks in metal (frameworks for blast.,25113,Manufacture of industrial frameworks in metal (frameworks for blast
We are engaged in manufacture of industrial frameworks in metal (frameworks for blast in our region.,25113,Manufacture of industrial frameworks in metal (frameworks for blast
Our business specializes in manufacture of other structural metal products.,25119,Manufacture of other structural metal products
We provide services related to manufacture of other structural metal products.,25119,Manufacture of other structural metal products
We are engaged in manufacture of other structural metal products in our region.,25119,Manufacture of other structural metal products
Our business specializes in manufacture of metal containers for compressed or liquefied gas.,25121,Manufacture of metal containers for compressed or liquefied gas
We provide services related to manufacture of metal containers for compressed or liquefied gas.,25121,Manufacture of metal containers for compressed or liquefied gas
We are engaged in manufacture of metal containers for compressed or liquefied gas in our region.,25121,Manufacture of metal containers for compressed or liquefied gas
"Our business specializes in manufacture of metal reservoirs, tanks and similar containers.",25122,"Manufacture of metal reservoirs, tanks and similar containers"
"We provide services related to manufacture of metal reservoirs, tanks and similar containers.",25122,"Manufacture of metal reservoirs, tanks and similar containers"
"We are engaged in manufacture of metal reservoirs, tanks and similar containers in our region.",25122,"Manufacture of metal reservoirs, tanks and similar containers"
Our business specializes in manufacture of central heating boilers and radiators and parts and accessories.,25123,Manufacture of central heating boilers and radiators and parts and accessories
We provide services related to manufacture of central heating boilers and radiators and parts and accessories.,25123,Manufacture of central heating boilers and radiators and parts and accessories
We are engaged in manufacture of central heating boilers and radiators and parts and accessories in our region.,25123,Manufacture of central heating boilers and radiators and parts and accessories
Our business specializes in manufacture of other containers n.e.c..,25129,Manufacture of other containers n.e.c.
We provide services related to manufacture of other containers n.e.c..,25129,Manufacture of other containers n.e.c.
We are engaged in manufacture of other containers n.e.c. in our region.,25129,Manufacture of other containers n.e.c.
Our business specializes in manufacture of steam or other vapour generating boilers and hot water.,25131,Manufacture of steam or other vapour generating boilers and hot water
We provide services related to manufacture of steam or other vapour generating boilers and hot water.,25131,Manufacture of steam or other vapour generating boilers and hot water
We are engaged in manufacture of steam or other vapour generating boilers and hot water in our region.,25131,Manufacture of steam or other vapour generating boilers and hot water
"Our business specializes in manufacture of nuclear reactors, except isotope separators.",25132,"Manufacture of nuclear reactors, except isotope separators"
"We provide services related to manufacture of nuclear reactors, except isotope separators.",25132,"Manufacture of nuclear reactors, except isotope separators"
"We are engaged in manufacture of nuclear reactors, except isotope separators in our region.",25132,"Manufacture of nuclear reactors, except isotope separators"
"Our business specializes in manufacture of auxiliary plant for use with steam generators (condensers,.",25133,"Manufacture of auxiliary plant for use with steam generators (condensers,"
"We provide services related to manufacture of auxiliary plant for use with steam generators (condensers,.",25133,"Manufacture of auxiliary plant for use with steam generators (condensers,"
"We are engaged in manufacture of auxiliary plant for use with steam generators (condensers, in our region.",25133,"Manufacture of auxiliary plant for use with steam generators (condensers,"
Our business specializes in manufacture of other steam generators (except central heating hot water.,25139,Manufacture of other steam generators (except central heating hot water
We provide services related to manufacture of other steam generators (except central heating hot water.,25139,Manufacture of other steam generators (except central heating hot water
We are engaged in manufacture of other steam generators (except central heating hot water in our region.,25139,Manufacture of other steam generators (except central heating hot water
Our business specializes in manufacture of weapons and ammunition.,25200,Manufacture of weapons and ammunition
We provide services related to manufacture of weapons and ammunition.,25200,Manufacture of weapons and ammunition
We are engaged in manufacture of weapons and ammunition in our region.,25200,Manufacture of weapons and ammunition
"Our business specializes in forging, pressing, stamping and roll-forming of metal; powder metallurgy.",25910,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"We provide services related to forging, pressing, stamping and roll-forming of metal; powder metallurgy.",25910,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"We are engaged in forging, pressing, stamping and roll-forming of metal; powder metallurgy in our region.",25910,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
Our business specializes in machining; treatment and coating of metals.,25920,Machining; treatment and coating of metals
We provide services related to machining; treatment and coating of metals.,25920,Machining; treatment and coating of metals
We are engaged in machining; treatment and coating of metals in our region.,25920,Machining; treatment and coating of metals
"Our business specializes in manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,.",25931,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,"
"We provide services related to manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,.",25931,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,"
"We are engaged in manufacture of cutlery such as knives, forks, spoons, cleavers, choppers, in our region.",25931,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,"
Our business specializes in manufacture of hand tools (non-power-driven) for agricultural/horticulture/.,25932,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/
We provide services related to manufacture of hand tools (non-power-driven) for agricultural/horticulture/.,25932,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/
We are engaged in manufacture of hand tools (non-power-driven) for agricultural/horticulture/ in our region.,25932,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/
"Our business specializes in manufacture of hand tools such as pliers, screwdrivers, press tools,.",25933,"Manufacture of hand tools such as pliers, screwdrivers, press tools,"
"We provide services related to manufacture of hand tools such as pliers, screwdrivers, press tools,.",25933,"Manufacture of hand tools such as pliers, screwdrivers, press tools,"
"We are engaged in manufacture of hand tools such as pliers, screwdrivers, press tools, in our region.",25933,"Manufacture of hand tools such as pliers, screwdrivers, press tools,"
"Our business specializes in manufacture of padlocks, locks, keys, hinges and the like, hardware for.",25934,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for"
"We provide services related to manufacture of padlocks, locks, keys, hinges and the like, hardware for.",25934,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for"
"We are engaged in manufacture of padlocks, locks, keys, hinges and the like, hardware for in our region.",25934,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for"
"Our business specializes in manufacture of general hardware (saws and sawblades, including circular.",25939,"Manufacture of general hardware (saws and sawblades, including circular"
"We provide services related to manufacture of general hardware (saws and sawblades, including circular.",25939,"Manufacture of general hardware (saws and sawblades, including circular"
"We are engaged in manufacture of general hardware (saws and sawblades, including circular in our region.",25939,"Manufacture of general hardware (saws and sawblades, including circular"
"Our business specializes in manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers.",25991,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers"
"We provide services related to manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers.",25991,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers"
"We are engaged in manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers in our region.",25991,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers"
We run a local restaurant serving homemade meals.,25992,Manufacture of containers such as tins and cans for food products and
I own a food truck that sells snacks and lunch boxes.,25992,Manufacture of containers such as tins and cans for food products and
We provide tiffin and catering services in the city.,25992,Manufacture of containers such as tins and cans for food products and
Our business specializes in manufacture of metal cable and other articles made of wire (except for.,25993,Manufacture of metal cable and other articles made of wire (except for
We provide services related to manufacture of metal cable and other articles made of wire (except for.,25993,Manufacture of metal cable and other articles made of wire (except for
We are engaged in manufacture of metal cable and other articles made of wire (except for in our region.,25993,Manufacture of metal cable and other articles made of wire (except for
"Our business specializes in manufacture of metal household articles (plates, saucers, pots, kettles,.",25994,"Manufacture of metal household articles (plates, saucers, pots, kettles,"
"We provide services related to manufacture of metal household articles (plates, saucers, pots, kettles,.",25994,"Manufacture of metal household articles (plates, saucers, pots, kettles,"
"We are engaged in manufacture of metal household articles (plates, saucers, pots, kettles, in our region.",25994,"Manufacture of metal household articles (plates, saucers, pots, kettles,"
"Our business specializes in manufacture of metal sanitaryware such as baths, sinks, washbasins and.",25995,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and"
"We provide services related to manufacture of metal sanitaryware such as baths, sinks, washbasins and.",25995,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and"
"We are engaged in manufacture of metal sanitaryware such as baths, sinks, washbasins and in our region.",25995,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and"
"Our business specializes in manufacture of reinforced safes, vaults, strongroom doors, gates and metal.",25996,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal"
"We provide services related to manufacture of reinforced safes, vaults, strongroom doors, gates and metal.",25996,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal"
"We are engaged in manufacture of reinforced safes, vaults, strongroom doors, gates and metal in our region.",25996,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal"
Our business specializes in manufacture of other fabricated metal products n.e.c..,25999,Manufacture of other fabricated metal products n.e.c.
We provide services related to manufacture of other fabricated metal products n.e.c..,25999,Manufacture of other fabricated metal products n.e.c.
We are engaged in manufacture of other fabricated metal products n.e.c. in our region.,25999,Manufacture of other fabricated metal products n.e.c.
"Our business specializes in manufacture of electronic capacitors, resistors, chokes, coils, trasformers.",26101,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers"
"We provide services related to manufacture of electronic capacitors, resistors, chokes, coils, trasformers.",26101,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers"
"We are engaged in manufacture of electronic capacitors, resistors, chokes, coils, trasformers in our region.",26101,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers"
"Our business specializes in manufacture of electron tubes, diodes, transistors and related discrete.",26102,"Manufacture of electron tubes, diodes, transistors and related discrete"
"We provide services related to manufacture of electron tubes, diodes, transistors and related discrete.",26102,"Manufacture of electron tubes, diodes, transistors and related discrete"
"We are engaged in manufacture of electron tubes, diodes, transistors and related discrete in our region.",26102,"Manufacture of electron tubes, diodes, transistors and related discrete"
"Our business specializes in manufacture of integrated circuits (analog, digital or hybrid).",26103,"Manufacture of integrated circuits (analog, digital or hybrid)"
"We provide services related to manufacture of integrated circuits (analog, digital or hybrid).",26103,"Manufacture of integrated circuits (analog, digital or hybrid)"
"We are engaged in manufacture of integrated circuits (analog, digital or hybrid) in our region.",26103,"Manufacture of integrated circuits (analog, digital or hybrid)"
"Our business specializes in manufacture of bare printed circuit boards, loading of components onto.",26104,"Manufacture of bare printed circuit boards, loading of components onto"
"We provide services related to manufacture of bare printed circuit boards, loading of components onto.",26104,"Manufacture of bare printed circuit boards, loading of components onto"
"We are engaged in manufacture of bare printed circuit boards, loading of components onto in our region.",26104,"Manufacture of bare printed circuit boards, loading of components onto"
"Our business specializes in manufacture of display components (plasma, polymer, lcd, led).",26105,"Manufacture of display components (plasma, polymer, LCD, LED)"
"We provide services related to manufacture of display components (plasma, polymer, lcd, led).",26105,"Manufacture of display components (plasma, polymer, LCD, LED)"
"We are engaged in manufacture of display components (plasma, polymer, lcd, led) in our region.",26105,"Manufacture of display components (plasma, polymer, LCD, LED)"
"Our business specializes in manufacture of printer cables, monitor cables, usb cables, connectors etc..",26106,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
"We provide services related to manufacture of printer cables, monitor cables, usb cables, connectors etc..",26106,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
"We are engaged in manufacture of printer cables, monitor cables, usb cables, connectors etc. in our region.",26106,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
Our farm cultivates rice and wheat using natural methods.,26107,Manufacture of microprocessors
We grow seasonal vegetables and sell them to local markets.,26107,Manufacture of microprocessors
A family-run land where cereals and pulses are harvested.,26107,Manufacture of microprocessors
Our business specializes in manufacture of other electronic components n.e.c.,26109,Manufacture of other electronic components n.e.c
We provide services related to manufacture of other electronic components n.e.c.,26109,Manufacture of other electronic components n.e.c
We are engaged in manufacture of other electronic components n.e.c in our region.,26109,Manufacture of other electronic components n.e.c
"Our business specializes in manufacture of desktop computers, laptop computers, hand-held computers.",26201,"Manufacture of desktop computers, laptop computers, hand-held computers"
"We provide services related to manufacture of desktop computers, laptop computers, hand-held computers.",26201,"Manufacture of desktop computers, laptop computers, hand-held computers"
"We are engaged in manufacture of desktop computers, laptop computers, hand-held computers in our region.",26201,"Manufacture of desktop computers, laptop computers, hand-held computers"
Our business specializes in manufacture of magnetic and optical storage devices such as magnetic disk.,26202,Manufacture of magnetic and optical storage devices such as magnetic disk
We provide services related to manufacture of magnetic and optical storage devices such as magnetic disk.,26202,Manufacture of magnetic and optical storage devices such as magnetic disk
We are engaged in manufacture of magnetic and optical storage devices such as magnetic disk in our region.,26202,Manufacture of magnetic and optical storage devices such as magnetic disk
"Our business specializes in manufacture of monitors, keyboards, all types of mice, joysticks, and.",26203,"Manufacture of monitors, keyboards, all types of mice, joysticks, and"
"We provide services related to manufacture of monitors, keyboards, all types of mice, joysticks, and.",26203,"Manufacture of monitors, keyboards, all types of mice, joysticks, and"
"We are engaged in manufacture of monitors, keyboards, all types of mice, joysticks, and in our region.",26203,"Manufacture of monitors, keyboards, all types of mice, joysticks, and"
"Our business specializes in manufacture of printers, scanners, including bar code scanners, smart card.",26204,"Manufacture of printers, scanners, including bar code scanners, smart card"
"We provide services related to manufacture of printers, scanners, including bar code scanners, smart card.",26204,"Manufacture of printers, scanners, including bar code scanners, smart card"
"We are engaged in manufacture of printers, scanners, including bar code scanners, smart card in our region.",26204,"Manufacture of printers, scanners, including bar code scanners, smart card"
"Our business specializes in manufacture of computer terminals, like automatic teller machines (atm’s),.",26205,"Manufacture of computer terminals, like automatic teller machines (ATM’s),"
"We provide services related to manufacture of computer terminals, like automatic teller machines (atm’s),.",26205,"Manufacture of computer terminals, like automatic teller machines (ATM’s),"
"We are engaged in manufacture of computer terminals, like automatic teller machines (atm’s), in our region.",26205,"Manufacture of computer terminals, like automatic teller machines (ATM’s),"
Our business specializes in manufacture of computers and peripheral equipment n.e.c..,26209,Manufacture of computers and peripheral equipment n.e.c.
We provide services related to manufacture of computers and peripheral equipment n.e.c..,26209,Manufacture of computers and peripheral equipment n.e.c.
We are engaged in manufacture of computers and peripheral equipment n.e.c. in our region.,26209,Manufacture of computers and peripheral equipment n.e.c.
"Our business specializes in manufacture of radio and television studio and broadcasting equipment,.",26301,"Manufacture of radio and television studio and broadcasting equipment,"
"We provide services related to manufacture of radio and television studio and broadcasting equipment,.",26301,"Manufacture of radio and television studio and broadcasting equipment,"
"We are engaged in manufacture of radio and television studio and broadcasting equipment, in our region.",26301,"Manufacture of radio and television studio and broadcasting equipment,"
"Our business specializes in manufacture of telephone and facsimile equipment, including telephone.",26302,"Manufacture of telephone and facsimile equipment, including telephone"
"We provide services related to manufacture of telephone and facsimile equipment, including telephone.",26302,"Manufacture of telephone and facsimile equipment, including telephone"
"We are engaged in manufacture of telephone and facsimile equipment, including telephone in our region.",26302,"Manufacture of telephone and facsimile equipment, including telephone"
"Our business specializes in manufacture of data communications equipment, such as bridges, routers,.",26303,"Manufacture of data communications equipment, such as bridges, routers,"
"We provide services related to manufacture of data communications equipment, such as bridges, routers,.",26303,"Manufacture of data communications equipment, such as bridges, routers,"
"We are engaged in manufacture of data communications equipment, such as bridges, routers, in our region.",26303,"Manufacture of data communications equipment, such as bridges, routers,"
"Our business specializes in manufacture of cable television equipment, transmitting and receiving.",26304,"Manufacture of cable television equipment, transmitting and receiving"
"We provide services related to manufacture of cable television equipment, transmitting and receiving.",26304,"Manufacture of cable television equipment, transmitting and receiving"
"We are engaged in manufacture of cable television equipment, transmitting and receiving in our region.",26304,"Manufacture of cable television equipment, transmitting and receiving"
"Our business specializes in manufacture of pagers, cellular phones and other mobile communication.",26305,"Manufacture of pagers, cellular phones and other mobile communication"
"We provide services related to manufacture of pagers, cellular phones and other mobile communication.",26305,"Manufacture of pagers, cellular phones and other mobile communication"
"We are engaged in manufacture of pagers, cellular phones and other mobile communication in our region.",26305,"Manufacture of pagers, cellular phones and other mobile communication"
Our business specializes in manufacture of other communication equipments n.e.c..,26309,Manufacture of other communication equipments n.e.c.
We provide services related to manufacture of other communication equipments n.e.c..,26309,Manufacture of other communication equipments n.e.c.
We are engaged in manufacture of other communication equipments n.e.c. in our region.,26309,Manufacture of other communication equipments n.e.c.
"Our business specializes in manufacture of televisions, television monitors and displays.",26401,"Manufacture of televisions, television monitors and displays"
"We provide services related to manufacture of televisions, television monitors and displays.",26401,"Manufacture of televisions, television monitors and displays"
"We are engaged in manufacture of televisions, television monitors and displays in our region.",26401,"Manufacture of televisions, television monitors and displays"
Our business specializes in manufacture video cassette recorders and duplicating equipment.,26402,Manufacture video cassette recorders and duplicating equipment
We provide services related to manufacture video cassette recorders and duplicating equipment.,26402,Manufacture video cassette recorders and duplicating equipment
We are engaged in manufacture video cassette recorders and duplicating equipment in our region.,26402,Manufacture video cassette recorders and duplicating equipment
Our business specializes in manufacture of audio recording and duplicating systems.,26403,Manufacture of audio recording and duplicating systems
We provide services related to manufacture of audio recording and duplicating systems.,26403,Manufacture of audio recording and duplicating systems
We are engaged in manufacture of audio recording and duplicating systems in our region.,26403,Manufacture of audio recording and duplicating systems
Our business specializes in manufacture of radio receivers.,26404,Manufacture of radio receivers
We provide services related to manufacture of radio receivers.,26404,Manufacture of radio receivers
We are engaged in manufacture of radio receivers in our region.,26404,Manufacture of radio receivers
"Our business specializes in manufacture of stereo equipment, speaker systems, amplifiers for musical.",26405,"Manufacture of stereo equipment, speaker systems, amplifiers for musical"
"We provide services related to manufacture of stereo equipment, speaker systems, amplifiers for musical.",26405,"Manufacture of stereo equipment, speaker systems, amplifiers for musical"
"We are engaged in manufacture of stereo equipment, speaker systems, amplifiers for musical in our region.",26405,"Manufacture of stereo equipment, speaker systems, amplifiers for musical"
Our business specializes in manufacture of cd and dvd players.,26406,Manufacture of CD and DVD players
We provide services related to manufacture of cd and dvd players.,26406,Manufacture of CD and DVD players
We are engaged in manufacture of cd and dvd players in our region.,26406,Manufacture of CD and DVD players
Our business specializes in manufacture of other electronic consumer goods n.e.c. (this includes non-.,26409,Manufacture of other electronic consumer goods n.e.c. (this includes non-
We provide services related to manufacture of other electronic consumer goods n.e.c. (this includes non-.,26409,Manufacture of other electronic consumer goods n.e.c. (this includes non-
We are engaged in manufacture of other electronic consumer goods n.e.c. (this includes non- in our region.,26409,Manufacture of other electronic consumer goods n.e.c. (this includes non-
Our business specializes in manufacture of physical properties testing and inspection equipment.,26511,Manufacture of physical properties testing and inspection equipment
We provide services related to manufacture of physical properties testing and inspection equipment.,26511,Manufacture of physical properties testing and inspection equipment
We are engaged in manufacture of physical properties testing and inspection equipment in our region.,26511,Manufacture of physical properties testing and inspection equipment
Our business specializes in manufacture of automotive emissions testing equipment.,26512,Manufacture of automotive emissions testing equipment
We provide services related to manufacture of automotive emissions testing equipment.,26512,Manufacture of automotive emissions testing equipment
We are engaged in manufacture of automotive emissions testing equipment in our region.,26512,Manufacture of automotive emissions testing equipment
"Our business specializes in manufacture of consumption meters for electricity, water or gas, flow meters.",26513,"Manufacture of consumption meters for electricity, water or gas, flow meters"
"We provide services related to manufacture of consumption meters for electricity, water or gas, flow meters.",26513,"Manufacture of consumption meters for electricity, water or gas, flow meters"
"We are engaged in manufacture of consumption meters for electricity, water or gas, flow meters in our region.",26513,"Manufacture of consumption meters for electricity, water or gas, flow meters"
Our business specializes in manufacture of meteorological instruments.,26514,Manufacture of meteorological instruments
We provide services related to manufacture of meteorological instruments.,26514,Manufacture of meteorological instruments
We are engaged in manufacture of meteorological instruments in our region.,26514,Manufacture of meteorological instruments
"Our business specializes in manufacture of radar equipment, gps devices, search, detection, navigation,.",26515,"Manufacture of radar equipment, GPS devices, search, detection, navigation,"
"We provide services related to manufacture of radar equipment, gps devices, search, detection, navigation,.",26515,"Manufacture of radar equipment, GPS devices, search, detection, navigation,"
"We are engaged in manufacture of radar equipment, gps devices, search, detection, navigation, in our region.",26515,"Manufacture of radar equipment, GPS devices, search, detection, navigation,"
Our business specializes in manufacture of laboratory analytical instruments and miscellaneous.,26516,Manufacture of laboratory analytical instruments and miscellaneous
We provide services related to manufacture of laboratory analytical instruments and miscellaneous.,26516,Manufacture of laboratory analytical instruments and miscellaneous
We are engaged in manufacture of laboratory analytical instruments and miscellaneous in our region.,26516,Manufacture of laboratory analytical instruments and miscellaneous
Our business specializes in manufacture of industrial process control equipment.,26517,Manufacture of industrial process control equipment
We provide services related to manufacture of industrial process control equipment.,26517,Manufacture of industrial process control equipment
We are engaged in manufacture of industrial process control equipment in our region.,26517,Manufacture of industrial process control equipment
Our business specializes in manufacture of other measuring n.e.c..,26519,Manufacture of other measuring n.e.c.
We provide services related to manufacture of other measuring n.e.c..,26519,Manufacture of other measuring n.e.c.
We are engaged in manufacture of other measuring n.e.c. in our region.,26519,Manufacture of other measuring n.e.c.
"Our business specializes in manufacture of watches and clocks, including instrument panel clocks.",26521,"Manufacture of watches and clocks, including instrument panel clocks"
"We provide services related to manufacture of watches and clocks, including instrument panel clocks.",26521,"Manufacture of watches and clocks, including instrument panel clocks"
"We are engaged in manufacture of watches and clocks, including instrument panel clocks in our region.",26521,"Manufacture of watches and clocks, including instrument panel clocks"
"Our business specializes in manufacture of components for clocks and watches (springs, jewels, dials,.",26522,"Manufacture of components for clocks and watches (springs, jewels, dials,"
"We provide services related to manufacture of components for clocks and watches (springs, jewels, dials,.",26522,"Manufacture of components for clocks and watches (springs, jewels, dials,"
"We are engaged in manufacture of components for clocks and watches (springs, jewels, dials, in our region.",26522,"Manufacture of components for clocks and watches (springs, jewels, dials,"
"Our business specializes in manufacture of time-recording equipments such as time-clock, parking.",26523,"Manufacture of time-recording equipments such as time-clock, parking"
"We provide services related to manufacture of time-recording equipments such as time-clock, parking.",26523,"Manufacture of time-recording equipments such as time-clock, parking"
"We are engaged in manufacture of time-recording equipments such as time-clock, parking in our region.",26523,"Manufacture of time-recording equipments such as time-clock, parking"
Our business specializes in manufacture of other watches and clocks n.e.c..,26529,Manufacture of other watches and clocks n.e.c.
We provide services related to manufacture of other watches and clocks n.e.c..,26529,Manufacture of other watches and clocks n.e.c.
We are engaged in manufacture of other watches and clocks n.e.c. in our region.,26529,Manufacture of other watches and clocks n.e.c.
Our business specializes in manufacture.,26600,Manufacture
We provide services related to manufacture.,26600,Manufacture
We are engaged in manufacture in our region.,26600,Manufacture
Our business specializes in manufacture of optical instruments and equipment.,26700,Manufacture of optical instruments and equipment
We provide services related to manufacture of optical instruments and equipment.,26700,Manufacture of optical instruments and equipment
We are engaged in manufacture of optical instruments and equipment in our region.,26700,Manufacture of optical instruments and equipment
Our business specializes in manufacture of magnetic and optical media.,26800,Manufacture of magnetic and optical media
We provide services related to manufacture of magnetic and optical media.,26800,Manufacture of magnetic and optical media
We are engaged in manufacture of magnetic and optical media in our region.,26800,Manufacture of magnetic and optical media
Our business specializes in manufacture of power generators (except battery charging alternators for.,27101,Manufacture of power generators (except battery charging alternators for
We provide services related to manufacture of power generators (except battery charging alternators for.,27101,Manufacture of power generators (except battery charging alternators for
We are engaged in manufacture of power generators (except battery charging alternators for in our region.,27101,Manufacture of power generators (except battery charging alternators for
